,,Table S2. List of DEGs across GSE153659.,,,,,,
,,,,,,,,
Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene_Symbol,Gene_Description
1,224.4639006,-0.923820952,0.297179879,-3.108625505,0.001879598,0.014341108,A1BG,alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]
2,21230.19363,-0.337513643,0.271311906,-1.244006016,0.213497349,0.39350245,A2M,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]
3,10.05651412,0.449087161,0.546841939,0.821237599,0.411510944,0.598516899,,alpha-2-macroglobulin pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:3]
9,142.8856693,0.158138263,0.24017162,0.65843859,0.510256345,0.682484233,NAT1,N-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7645]
10,1.937422565,0.859262502,0.674342274,1.274223098,0.202584361,0.37990812,NAT2,N-acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:7646]
12,394.5767538,0.161556308,0.625149353,0.258428338,0.796076349,0.885247919,SERPINA3,serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]
13,5.639284348,1.610403438,0.817890862,1.968971061,0.048956414,0.146263487,AADAC,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]
14,3691.316325,-0.009164789,0.100737103,-0.090977296,0.927510631,0.962924521,AAMP,angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]
15,21.77361771,-0.377097847,0.58357709,-0.646183432,0.518160568,0.689128602,AANAT,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]
16,5642.531141,0.283841243,0.197172655,1.439556834,0.14999282,0.312478563,AARS1,alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]
18,3779.796082,0.13616145,0.358998806,0.379281066,0.704479158,0.82704072,ABAT,4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]
19,2055.853067,0.350002153,0.250939168,1.394768921,0.163085534,0.329461112,ABCA1,ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]
20,6762.73735,-0.568236441,0.216419089,-2.625629943,0.008648879,0.043358419,ABCA2,ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]
21,3164.333808,-0.294758178,0.177485068,-1.660749163,0.096763835,0.233319414,ABCA3,ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]
22,963.0241941,-0.106503489,0.12627894,-0.843398663,0.39900552,0.587003519,ABCB7,ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]
23,2194.919301,0.244549903,0.126296125,1.936321505,0.052828337,0.154381199,ABCF1,ATP binding cassette subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:70]
24,99.03531922,-1.288168689,0.344526093,-3.738958282,0.000184784,0.002512474,ABCA4,ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]
25,4560.241791,-0.107908071,0.129361783,-0.834157264,0.40419237,0.591480009,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]"
26,61.7705212,-1.323457844,0.703528804,-1.881170801,0.059948688,0.168033859,AOC1,amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]
27,1198.146338,-0.520862724,0.128991309,-4.037967592,5.39E-05,0.000960222,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]"
28,2604.020588,-0.262074424,0.344589134,-0.760541752,0.446930822,0.630006332,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]"
29,3558.819558,-1.214748,0.201923023,-6.015896451,1.79E-09,1.51E-07,ABR,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]
30,2435.480071,-0.220691345,0.129444165,-1.704915366,0.08821021,0.219426017,ACAA1,acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]
31,1415.392586,-0.013368603,0.135189126,-0.098888154,0.921227075,0.959094593,ACACA,acetyl-CoA carboxylase alpha [Source:HGNC Symbol;Acc:HGNC:84]
32,1814.830321,1.227409714,0.279542119,4.390786325,1.13E-05,0.000276353,ACACB,acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]
33,969.7971097,0.43225788,0.378613153,1.141687437,0.253583965,0.440713927,ACADL,acyl-CoA dehydrogenase long chain [Source:HGNC Symbol;Acc:HGNC:88]
34,2068.264901,0.544056662,0.185829956,2.927712368,0.003414658,0.022216198,ACADM,acyl-CoA dehydrogenase medium chain [Source:HGNC Symbol;Acc:HGNC:89]
35,969.3619344,0.872259281,0.25147957,3.468509509,0.000523354,0.005536876,ACADS,acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]
36,1452.059516,1.241713431,0.276698178,4.48760972,7.20E-06,0.000190128,ACADSB,acyl-CoA dehydrogenase short/branched chain [Source:HGNC Symbol;Acc:HGNC:91]
