Samples,Conditions
GSM5048743,normal
GSM5048744,tumor
GSM5048745,normal
GSM5048746,tumor
GSM5048747,normal
GSM5048748,tumor
GSM5048749,normal
GSM5048750,tumor
GSM5048751,normal
GSM5048752,tumor
GSM5048753,normal
GSM5048754,tumor
GSM5048755,normal
GSM5048756,tumor
GSM5048757,normal
GSM5048758,tumor
GSM5048759,normal
GSM5048760,tumor
GSM5048761,normal
GSM5048762,tumor
GSM5048763,normal
GSM5048764,tumor
GSM5048765,normal
GSM5048766,tumor
GSM5048767,normal
GSM5048768,tumor
GSM5048769,normal
GSM5048770,tumor
GSM5048771,normal
GSM5048772,tumor
GSM5048773,normal
GSM5048774,tumor
GSM5048775,normal
GSM5048776,normal
GSM5048777,normal
GSM5048778,normal
GSM5048779,normal
GSM5048780,normal
GSM5048781,normal
GSM5048782,normal
GSM5048783,normal
GSM5048784,normal
GSM5048785,normal
GSM5048786,normal
GSM5048787,normal
GSM5048788,normal
GSM5048789,normal
GSM5048790,normal
GSM5048791,normal
GSM5048792,normal
GSM5048793,normal
GSM5048794,normal
GSM5048795,normal
GSM5048796,normal
GSM5048797,normal
GSM5048798,normal
GSM5048799,normal
GSM5048800,normal
GSM5048801,normal
GSM5048802,normal
GSM5048803,normal
GSM5048804,normal
GSM5048805,normal
GSM5048806,normal
GSM5048807,normal
GSM5048808,normal
GSM5048809,normal
GSM5048810,normal
GSM5048811,normal
GSM5048812,normal
GSM5048813,normal
GSM5048814,normal
GSM5048815,normal
GSM5048816,normal
